Problem Size,code 1,code 2,code 3
8388608,3395.8373646196233,2334.544863538655,270.11109558367525
16777216,3301.075801971844,2750.2897873384695,231.41928904115008
33554432,3374.3466272404635,2660.3661448862067,212.9665469620606
67108864,3442.571765190983,2947.852869474324,204.79706941693576
134217728,3505.444408788122,3084.411844387938,200.3317593078275
268435456,3508.277539614971,3143.392422593383,198.22995685290672
